Date(GMT),"Time (GMT,h)",Hypernav_site,lat,lon,insitu_Rrs380,insitu_Rrs412,insitu_Rrs443,insitu_Rrs490,insitu_Rrs530,insitu_Rrs565,insitu_Rrs670,sgli_Rrs380_mean,sgli_Rrs412_mean,sgli_Rrs443_mean,sgli_Rrs490_mean,sgli_Rrs530_mean,sgli_Rrs565_mean,sgli_Rrs670_mean,sgli_Rrs380_std,sgli_Rrs412_std,sgli_Rrs443_std,sgli_Rrs490_std,sgli_Rrs530_std,sgli_Rrs565_std,sgli_Rrs670_std
3/24/24,10.70833333,CR,35.85400009,25.61300087,0.00612391,0.006325842,0.005953912,0.005202933,0.002626237,0.00159121,0.000156728,0.009350098,0.007641606,0.007699471,0.005991069,0.002958356,0.001618716,9.17E-05,0.000103192,8.32E-05,0.000102304,5.93E-05,2.69E-05,2.02E-05,2.75E-06
3/13/24,10.95,CR,35.66899872,25.62849998,0.006546305,0.006803571,0.006492648,0.005806513,0.002967675,0.001815173,0.000188227,0.01226574,0.009222685,0.009153205,0.006736764,0.003528573,0.002047371,7.25E-05,0.000242119,0.0001922,0.000300607,0.000157988,0.000376262,5.44E-05,3.37E-06
3/8/24,10.84444444,CR,35.66479874,25.48559952,0.008639586,0.009140851,0.008698149,0.007447675,0.003757001,0.002270021,0.000220675,0.005994358,0.005197607,0.005672546,0.005234025,0.002417529,0.001331592,0.000103623,0.000385429,0.000290564,0.000225054,0.000290709,0.000120002,0.000151185,5.55E-06
3/9/24,10.80833333,CR,35.65159988,25.51539993,0.006102175,0.006279375,0.006049511,0.005438011,0.002884377,0.001812263,0.000189397,0.010491615,0.007988538,0.008016673,0.006039123,0.003299395,0.001887449,0.000101427,0.000274237,0.000316085,0.000317132,0.000215532,0.000285415,0.000130765,3.41E-06
3/4/24,10.70833333,CR,35.70259857,25.28590012,0.006373697,0.006547313,0.006240515,0.005593709,0.002918696,0.001809451,0.00017851,0.006801441,0.005814521,0.006359707,0.005064948,0.002872644,0.001516887,0.000116102,9.90E-05,7.81E-05,6.56E-05,7.34E-05,6.94E-05,1.83E-05,3.35E-06
3/11/24,10.88333333,CR,35.64770126,25.55260086,0.006250771,0.006492003,0.006228705,0.005555293,0.002835488,0.001734445,0.00017557,0.005332952,0.004721014,0.005243403,0.00475986,0.002460614,0.001251186,8.78E-05,0.000168537,0.000161763,9.67E-05,0.000103117,6.30E-05,1.71E-05,4.87E-06
5/28/24,17.2,PR,17.88669968,-66.96450043,0.005886602,0.00690723,0.005886433,0.005410745,0.002958552,0.001890455,0.000221503,0.000966677,0.002452905,0.004959468,0.005324122,0.003716746,0.001443826,0.000128514,0.00086135,0.000865233,0.000553833,0.000709025,0.001003374,0.000894191,4.26E-05
5/18/24,16.83333333,PR,17.86190033,-66.84010315,0.01434768,0.015284158,0.010871536,0.00756246,0.003255734,0.001919915,0.000182308,0.018801832,0.015065153,0.012635471,0.008359418,0.003864048,0.00242589,7.53E-05,0.000204063,0.000167209,0.000119304,9.68E-05,0.000125218,0.000112596,4.13E-07
5/14/24,16.925,PR,17.88479996,-66.82440186,5.32E-05,-4.53E-06,1.04E-06,-6.28E-06,-2.63E-07,5.92E-06,-1.50E-06,0.009440013,0.008688855,0.00867465,0.006560748,0.00346223,0.002447007,0.000153904,0.001708381,0.001371542,0.00071952,0.000195564,0.000275854,0.000324404,3.37E-05
5/2/24,17.19166667,PR,17.62859917,-67.03540039,0.003352152,0.003549477,0.002487643,0.001607704,0.000598854,0.000329316,3.49E-05,0.008366482,0.008775149,0.008490329,0.006176268,0.002500513,0.000777961,6.99E-05,0.000323038,0.000220196,0.000175338,0.000107374,7.72E-05,7.70E-06,0
